sampleid	diet 
TECPEC-1-T1	HFD
TECPEC-2-T1	HFD
TECPEC-3-T1	HFD
TECPEC-4-T1	HFD
TECPEC-5-T1	HFD
TECPEC-6-T1	HFD
TECPEC-7-T1	HFD
TECPEC-8-T1	HFD
TECPEC-9-T1	HFD+PP
TECPEC-10-T1	HFD+PP
TECPEC-11-T1	HFD+PP
TECPEC-12-T1	HFD+PP
TECPEC-13-T1	HFD+PP
TECPEC-14-T1	HFD+PP
TECPEC-15-T1	HFD+PP
TECPEC-16-T1	HFD+PP
TECPEC-17-T1	SD
TECPEC-18-T1	SD
TECPEC-19-T1	SD
TECPEC-20-T1	SD
TECPEC-21-T1	SD
TECPEC-22-T1	SD
TECPEC-23-T1	SD
TECPEC-24-T1	SD
TECPEC-25-T1	S
TECPEC-26-T1	S
TECPEC-27-T1	S
TECPEC-28-T1	S
TECPEC-29-T1	S
TECPEC-30-T1	S
TECPEC-31-T1	S
TECPEC-32-T1	S
TECPEC-33-T1	S+PP
TECPEC-34-T1	S+PP
TECPEC-35-T1	S+PP
TECPEC-36-T1	S+PP
TECPEC-37-T1	S+PP
TECPEC-38-T1	S+PP
TECPEC-40-T1	S+PP
